app_name,score,label,processed_content
MB Bank,1,Negative,mã mã otp l gì đăng nhập không được tiền rút không được làm ứng dụng như cái gì z
MB Bank,5,Positive,mong ứng dụng cải tiến giao diện và tối ưu lại ứng dụng
MB Bank,5,Positive,ngân hàng sử dụng rất tốt
MB Bank,1,Negative,không đăng nhập được tài khoản cũ
MB Bank,5,Positive,chuẩn
MB Bank,1,Negative,spam quá nhiều quảng cáo không thể tắt được thông báo quảng cáo chặn 1 1 1 1
MB Bank,5,Positive,tốt nhất
MB Bank,5,Positive,tot
MB Bank,5,Positive,mã người giới thiệu là mbat 508 877 dành cho ai cần và muốn nhập để sử dụng nhé ngân hàng nhiều tiện ích bảo mật cao
MB Bank,4,Positive,đăng nhập vào ứng dụng chậm chạp báo tiền về tài khoản chậm
MB Bank,5,Positive,rất có lợi
MB Bank,5,Positive,sử dụng rất tốt
MB Bank,5,Positive,dịch vụ nhanh tốt
MB Bank,1,Negative,không tốt
MB Bank,5,Positive,như boài
MB Bank,1,Negative,ap này bị trừ tiền tài khoản
MB Bank,5,Positive,quá tuyệt vời
MB Bank,4,Positive,hình như bị lỗi mình đki vân tay mà cứ bị out ra mãi
MB Bank,1,Negative,cái cc mek nó cứ nói thử lại vài phút mà giờ chx được
MB Bank,5,Positive,siêu siêu tốt
MB Bank,5,Positive,hay hơn các ứng dụng kia nhiều
MB Bank,5,Positive,ứng dụng mượt theme đẹp so với trước thì đã tốt hơn nhiều
MB Bank,5,Positive,hay
MB Bank,5,Positive,🥰
MB Bank,5,Positive,nhanh tốt
MB Bank,2,Negative,tôi rất thích
MB Bank,1,Negative,ứng dụng cực kỳ chậm mọi thao tác phải chờ quay quay mấy giây mới vào được các ứng dụng bank khác như vietcombank vtb techcombank dùng khác mượt riêng có mb là rất chậm
MB Bank,1,Negative,đkm sdt của tôi chính chủ của tôi mà giờ làm ngân hàng nó đ cho là sao
MB Bank,5,Positive,tốt
MB Bank,1,Negative,nhập đúng mật khẩu rồi mà vẫn báo sai mật khẩu
MB Bank,1,Negative,ngu rất
MB Bank,1,Negative,đừng có cập nhật nữa để một phiên bản thôi phải nghĩ cho những người có dung lượng ít nữa chứ
MB Bank,5,Positive,ứng dụng tốt
MB Bank,4,Positive,ứng dụng ngân hàng dạo này thấy hơi bị chậm quá vào chuyển khoản mà chờ lâu
MB Bank,5,Positive,rất ổn nha
MB Bank,5,Positive,đúng rất tốt
MB Bank,1,Negative,ứng dụng lỗi
MB Bank,1,Negative,nhiều quảng cáo quá mà không tắt được suốt ngày thông báo
MB Bank,5,Positive,cũng được
MB Bank,5,Positive,tốt tốt
MB Bank,5,Positive,tốt
MB Bank,5,Positive,dùng tốt
MB Bank,5,Positive,an toàn tiện lợi tốt
MB Bank,1,Negative,ứng dụng truy cập vào cực kỳ chậm chuyển tiền thường xuyên bị chậm và lỗi một ứng dụng của quân đội mà làm rất tồi tệ
MB Bank,5,Positive,tốt
MB Bank,1,Negative,đăng nhập chậm khó khăn
MB Bank,5,Positive,rất tốt 👍
MB Bank,1,Negative,lác hơi chậm ứng dụng không mượn
MB Bank,5,Positive,áp hay nhập mã trên nhận quà 52k
MB Bank,1,Negative,ứng dụng chậm điên đừng tải
MB Bank,1,Negative,cứ trừ tiền tao liên tục phí thường niên mà trừ tận 4 lần mail đ có ai quan tam và giải quyết đkm
MB Bank,1,Negative,nên tạo thêm nhiều theme để người dùng thay đổi khó vay tiền xu không dùng để giảm hóa đơn bị chậm thông báo giao dịch 😐😑 cứ bắt cập nhật hoài
MB Bank,3,Neutral,ứng dụng nặng tải chậm với các máy cấu hình yếu
MB Bank,5,Positive,oom
MB Bank,5,Positive,tuyết với
MB Bank,1,Negative,không hiểu sao tài khoản rõ ràng chuyển khoản rồi thế mà bên kia không nhận được tiền cũng bị trừ báo lên thì phải chờ 3 4 ngày chịu luôn nói chung đóng tài khoản rồi cúng trước cô hồn t7 vậy tức không thể tả
MB Bank,5,Positive,ứng dụng uy tín nha
MB Bank,1,Negative,trước tôi có tạo 1 vài lần bằng sdt nhưng chưa tạo được nay tạo lại ứng dụng không cho tôi dùng số đó nữa lý do là gì vậy
MB Bank,1,Negative,tạo tài khoản mết khách hàng được
MB Bank,1,Negative,lỗi liên tục tôi đã chuyển sang ngân hàng khác dùng vì ngân hàng số mà lỗi thì trải nghiệm rất tệ
MB Bank,5,Positive,giao diện đẹp thân thiện dễ sử dụng
MB Bank,1,Negative,không tải được
MB Bank,1,Negative,xác thực thông tin làm đúng yêu cầu mà bị bắt làm đi làm lại
MB Bank,5,Positive,y bài
MB Bank,5,Positive,hay không cần phải đi ra ngân hàng
MB Bank,5,Positive,dùng rất tốt
MB Bank,5,Positive,okok
MB Bank,5,Positive,rất hữu ích và thuận tiện
MB Bank,5,Positive,dịch vụ rất tốt
MB Bank,5,Positive,ứng dụng tuyệt vời
MB Bank,5,Positive,tốt lắm luôn
MB Bank,1,Negative,không định danh được mức hai nhân viên tư vấn chẳng thèm tư vấn
MB Bank,5,Positive,chuyển tiền nhanh chống vip
MB Bank,5,Positive,dùng tốt mã lời giới thiệu là mbat 508 877 dành cho ai cần và thích nhập nó ứng dụng rất tốt bảo mật thanh toán đều quá tốt
MB Bank,2,Negative,đkm có cái vân tay thôi mãi không cho đki đọc mỏi hết cả mồm rồi
MB Bank,2,Negative,vào ứng dụng lâu quá chuyển mục cũng lâu thông báo chờ 15p sau mới thấy giao dịch ổn không bị gián đoạn
MB Bank,5,Positive,tốt
MB Bank,1,Negative,không tải được
MB Bank,5,Positive,mã lời giới thiệu là mbat 508 877 dành cho ai cần và muốn nhập để sử dụng nhé ứng dụng bảo mật cao nhiều tính năng
MB Bank,5,Positive,quá tốt
MB Bank,5,Positive,rất tốt luôn nói chung là khá là tốt
MB Bank,5,Positive,oki
MB Bank,5,Positive,dùng tốt
MB Bank,1,Negative,xác thực nfc toàn không hợp lệ lỗi quá lỗi
MB Bank,5,Positive,hài lòng
MB Bank,5,Positive,tốt job
MB Bank,5,Positive,chất lượng tốt
MB Bank,2,Negative,vào ứng dụng chậm chuyển tiền cũng chậm quay tròn mãi mới chuyển khoản được lúc đầu tưởng do điện thoại đổi 2 3 máy vẫn thế thì chứng tỏ do ứng dụng
MB Bank,1,Negative,chuyển khoản báo lỗi nên chuyển lại lần 2 2 hôm sau tra soát giao dịch lại báo lần 1 đã thanh công thế là mất tiền 2 lần hỏi hỗ trợ thì báo không hỗ trợ được nhưng lỗi này do bank không phải do người dùng đáng nhẽ lỗi thì phải back tiền về người chuyển thì bank lại back về người nhận làm ăn khó hiểu thật
MB Bank,5,Positive,tôi rất tự hào mb back
MB Bank,5,Positive,tốt 👍
MB Bank,1,Negative,ứng dụng chạy chậm như chậm mở mỗi cái ứng dụng hết bố ngày thì làm ăn gì nchung là quá tệ
MB Bank,5,Positive,ứng dùng tốt
MB Bank,5,Positive,tốt very tốt 👍
MB Bank,5,Positive,ai đang cần vay gõ trang tui đợt này thiếu số nên hạn mức cao phí chưa đến 99k nữa phần mềm nặng chậm hết cả máy đt đơ phần mềm dùng cái vietinbank agribank không thì không sao tạm thời đánh 1 không cải thiện thì hủy tài khoản
MB Bank,4,Positive,khá tiện
MB Bank,5,Positive,tôi rất hào lòng
MB Bank,5,Positive,chuyển khoản nhanh chong
MB Bank,2,Negative,xử lí lâu
MB Bank,1,Negative,ứng dụng tốt mà nhập đúng mật khẩu không cho vô nhập đúng mật khẩu cấp nhập mật khẩu đúng vẫn không cho đổi
MB Bank,5,Positive,mã người giới thiệu là mbat 508 877 dành cho ai cần và muốn nhập để sử dụng nhé ngân hàng rất nhiều bảo mật cao sử dụng nhanh lắm
MB Bank,5,Positive,quá tốt
MB Bank,1,Negative,đang cần sdung gấp bắt cập nhật mới cho sdung
MB Bank,5,Positive,tốt 👍
MB Bank,5,Positive,giao dịch nhanh uy tín chúc ngân hàng luôn luôn thành công
MB Bank,4,Positive,khá tốt thân thiện với mọi người và mọi nhà
MB Bank,5,Positive,ngon
MB Bank,2,Negative,không tạo được qr
MB Bank,4,Positive,dùng tốt nhm lỗi đăng nhập nhiều quá
MB Bank,1,Negative,đủ mẹ coi như mất trắng 50k tuy số tiền không lớn nhưng tôi tức
MB Bank,5,Positive,tốt đi
MB Bank,5,Positive,đổi mình rồi nhập mã dig mã otp sao không được nhập đúng mà không đx
MB Bank,1,Negative,không nhận được tb biến động số dư
MB Bank,1,Negative,ứng dụng banking không khắc phục cho người dùng mỗi lần vào ứng dụng là bị lát rõ ràng mạng mạnh qua bên ứng dụng hd bank thì vào nhanh vào ứng dụng này thì lát giật đôi lúc điên thật sự
MB Bank,3,Neutral,cho ng dưới 16 tuổi thì tuyệt
MB Bank,5,Positive,sài dễ hữu ít
MB Bank,5,Positive,
MB Bank,5,Positive,im
MB Bank,3,Neutral,suốt ngày lỗi phiền phức lắm mang tiếng ngân hàng quân đội nhưng rất vớ vẩn
MB Bank,1,Negative,lỗi không lấy được mã nhận tiền vui lòng xem xét lại
MB Bank,5,Positive,ê mà 15t đăng kí được không
MB Bank,1,Negative,lỗi không đóng tiền điện được
MB Bank,5,Positive,tốt nhưng vai tien chua đăng ký
MB Bank,2,Negative,hay hiện pop cập nhật quảng cáo trong lúc nhập mã otp gây bất tiện thường xuyên chậm trong lúc thanh toán gây ức chế
MB Bank,1,Negative,quá thất vọng phải chi 10tr trong tài khoản trừ phí thường niên 200k thì ai nói gì đâu mới được bố chuyển 100k ăn sáng thì bị trừ mẹ 99k rồi đã nghèo rồi còn gặp tụ này hút máu nữa
MB Bank,5,Positive,nhanh gọn
MB Bank,5,Positive,ánh sáng sinh ra bóng tối bóng tối sinh ra ánh sáng
MB Bank,1,Negative,tiền trong tài khoản cứ tự nhiên bị trừ mất hết tiền
MB Bank,5,Positive,mbat 508877
MB Bank,5,Positive,thân thiện tiện lợi
MB Bank,1,Negative,chậm vkl
MB Bank,5,Positive,rất tốt
MB Bank,5,Positive,bọn lừa đảo
MB Bank,1,Negative,lúc mở bảo miễn phí toàn bộ mở ra không cấp hạn mức không sử dụng được xong trừ 220 bảo phí thường niên mà thẻ chưa sử dụng chưa phát hành hỏi nvcskh không hổ trợ rỏ rang bảo lên ap xem trả lời 10p 1 câu giờ bảo hủy tài khoản không cho ủa không sai được không sử dụng không cho huy sao trừ tiền
MB Bank,5,Positive,rất tốt
MB Bank,5,Positive,hỗ trợ đổi số điện thoại bằng cách quét nfc thì tốt đỡ phải ra quầy nhỉ vì số điện thoại cũ mình không sử dụng nữa rồi
MB Bank,5,Positive,chat luong tot va nhanh nua
MB Bank,5,Positive,tốt hơi lâu
MB Bank,1,Negative,lỗi không sử dụng được trong thư mục bảo mật samsung
MB Bank,2,Negative,dao diện quá rối quá nhiều quảng cáo không phù hợp
MB Bank,5,Positive,dễ dùng
MB Bank,1,Negative,mbbank như cái gì nha
MB Bank,5,Positive,oki ne
MB Bank,5,Positive,sài ngon lắm
MB Bank,1,Negative,đặt mã otp là ngày sinh dễ nhớ thì ứng dụng không cho hơi khó chịu
MB Bank,1,Negative,phần mềm nặng chậm hết cả máy đt đơ phần mềm dùng cái vietinbank agribank không thì không sao tạm thời đánh 1 không cải thiện thì hủy tài khoản
MB Bank,5,Positive,rat tốt
MB Bank,5,Positive,dất tốt
MB Bank,1,Negative,lỗi nhiều làm theo y như hướng dẫn rồi mà không cho tạo tài khoản cứ bảo là mình có tài khoản rồi bắt đăng nhập trong khi đây là lần đầu đi tạo tài khoản từ giờ không dùng cái ứng dụng này nữa lằng nhằng tốn thời gian 😑😡
MB Bank,5,Positive,iufrf
MB Bank,2,Negative,đăng kí onli trên điện thoại nhưng không hỗ trợ khách đóng tài khoản onli khi không dùng nữa phải bắt ra tận ngân hàng để đóng trong khi khác ở xa
MB Bank,5,Positive,hơi lãng khi lên với chuyển khoản
MB Bank,5,Positive,dịch vu tốt
MB Bank,5,Positive,tốt ngân ha ng quân đô i
MB Bank,1,Negative,ứng dụng bao nhiêu phiên bản rồi mà đến nay vẫn bị crash may mà không có 0 sao
MB Bank,5,Positive,thanh toán nhanh gọn lẹ đơn giản
MB Bank,3,Neutral,mb thu phí thương niên cao quá
MB Bank,5,Positive,tuyệt vời
MB Bank,3,Neutral,không cho dùng số đth chính chủ của mình
MB Bank,5,Positive,rất là hài lòng
MB Bank,3,Neutral,vô mà nó lang vô trong áp để quét mã mà vô ứng dụng mãi mới vô được chê
MB Bank,1,Negative,cập nhật xong thì lỗi rất l luôn không cho đăng nhập hay s á vừa vào là kick ra ứng dụng luôn
MB Bank,5,Positive,tốt
MB Bank,5,Positive,tô tôi nhâ tôi la mb
MB Bank,5,Positive,rất hài lòng tốt
MB Bank,1,Negative,không đăng ký được cứ báo sai thông tin
MB Bank,1,Negative,định danh mức độ 2 trên 16 tuổi rồi mà thế đel nào cứ bảo là thông tin cập nhật không chính xác được mà định danh mức mới làm cách đây 2 tháng bank rõ là ảo lòi thế này mà lên được top 2 tài chính của gg mới hay chứ lị không bt có gian lận cái gì không nhưng dịch vụ thì quá là tệ nói tệ chắc còn khen bởi vì nó phải chạm mức tệ đến cực điểm
MB Bank,5,Positive,dễ sử dụng
MB Bank,5,Positive,giao diện đẹp dễ sử dụng
MB Bank,5,Positive,hay tốt
MB Bank,5,Positive,nhan tien qr tu dong
MB Bank,5,Positive,dung qua tốt
MB Bank,5,Positive,quá tuyệt
MB Bank,5,Positive,không vào được ứng dụng báo lỗi rồi văng ra
MB Bank,1,Negative,vietlott sms coi như là không dùng được trên ứng dụng này
MB Bank,5,Positive,ngân hàng sử dụng rất tốt và nhiều ưu đãi thanh toán tiện lợi rất nhanh phù hợp với nhiều dùng dễ dàng sử dụng lắm nhà
MB Bank,5,Positive,cúng tốt
MB Bank,1,Negative,quá chậm
MB Bank,5,Positive,bảo mật rất an toàn chuyển tiền nhanh tôi rất thik
MB Bank,5,Positive,dùng được
MB Bank,5,Positive,có thể lập tài khoản ngay mà không cần đến ngân hàng
MB Bank,5,Positive,quá tốt
MB Bank,1,Negative,chất lượng như cái đb quay chậm lòi cả mắt tải thì lâu nhập đúng mình thì báo lỗi
MB Bank,4,Positive,quảng cáo nhiều quá
MB Bank,5,Positive,chưa giao dịch nhưng mà theme với ảnh nền đẹp ứng dụng đẹp
MB Bank,5,Positive,ứng dụng dễ dùng đơn giản
MB Bank,1,Negative,khó chịu về mã chuyển khoản
MB Bank,5,Positive,tuyệt vời luôn
MB Bank,5,Positive,tốt lắm
MB Bank,5,Positive,pray for one
MB Bank,1,Negative,lúc gọi tặng thẻ đa năng thì kêu là miễn phí thường niên nay tự động thu 99k năm mà không thông báo ai ra ngân hàng hỏi thẻ có bị thu không thì nhân viên không biết hủy thẻ thì tốn 110k thế tặng 2 thẻ hủy hết 220k
MB Bank,5,Positive,tốt rất tốt
MB Bank,5,Positive,tuyệt vời
MB Bank,1,Negative,xác thực mã otp bằng giọng nói đọc to dãy số quá cồng kềnh khiến tôi xác thực mãi không được gặp trường hợp không có thiết bị cũ bị câm địa phương không có chi nhánh mb thì xử lí kiểu gì
MB Bank,5,Positive,bảo mật tốt
MB Bank,5,Positive,nhanh le
MB Bank,1,Negative,tệ rất cứ đưa ra nhưng cách chuyển tiền mới làm chuyển lộn mất tiền oan
MB Bank,5,Positive,vì vụ nổ bi
MB Bank,5,Positive,qua tuyệt voi
MB Bank,5,Positive,không biết nói gì c biết viết 2 từ rất tuyệt vời
MB Bank,5,Positive,ứng dụng quá chuẩn
MB Bank,5,Positive,tốt
MB Bank,1,Negative,mỗi lần mở lên là phải tải rất lâu rất khó chịu 👎👎
MB Bank,1,Negative,hôm nay rất bực nhân viên mb gọi bảo mở thẻ tín dụng cho tôi tôi bảo không cần không có như cầu cô ta lại bảo mở thẻ gửi về nhà tôi khi tôi cần thì dùng tôi đã bảo không có như cầu rồi mà vẫn muốn mở thẻ gửi về là sao
MB Bank,1,Negative,mấy anh chị cập nhập ít thôi ạ
MB Bank,5,Positive,ngân hàng tốt nhiều tính năng thanh toán giao dịch đều quá tốt rất hay nha
MB Bank,2,Negative,ứng dụng quá nặng khiến máy yếu chậm lòi l mang tiếng ngân hàng quân đội 1 điều ghét nhất ở mb là nfc sinh trắc học khi xoá ứng dụng hay cài lại nfc sẽ mất hết phải mượn máy người khác làm lại các ngân hàng khác 1 khi đã làm thì không bị mất nfc dù đổi máy xoá đi vv
MB Bank,5,Positive,tôi cảm rất tuyệt vời và đáng tin cậy
MB Bank,5,Positive,ngân hàng mb rất linh động và nhanh
MB Bank,3,Neutral,nạp tiền điện thoại bị trừ tiền tài khoản mà không có tiền điện thoại
MB Bank,5,Positive,máy cũ hư qua máy ms là không đăng nhập được nữa luôn mất ht tienfe
MB Bank,4,Positive,nhập đúng mật khẩu mà báo lỗi
MB Bank,1,Negative,tốt
MB Bank,5,Positive,5 sao không nói nhiều quá tốt
MB Bank,5,Positive,giao dien dễ dùng và thân thiện
MB Bank,5,Positive,ứng dụng mượt như sunsilk tốt yêu chính phủ 3
MB Bank,1,Negative,ứng dụng bị lỗi suốt
MB Bank,1,Negative,mất tiền mb đền mình cập nhật phiên bản mới nhất mà chưa có nút hủy gì hết trơn
MB Bank,5,Positive,dao dịch nhanh và tiện lợi
MB Bank,1,Negative,25 5 tôi có đăng ký thẻ master hybrid vì thiết kế thẻ rất đẹp nhưng khi đăng ký xong in thẻ vật lý thì kêu hết hàng rồi đề xuất mẫu thẻ khác tôi không hài lòng nên ra hủy thẻ thì mất 110k tiền hủy trong khi tôi chưa xử dụng dịch vụ nào thuộc thẻ đó bên mb đói ăn đến nỗi lấy phí dịch vụ của khách hàng chưa xử dụng dịch vụ thế sao
MB Bank,1,Negative,phần mềm chạy chậm
MB Bank,5,Positive,dịch vụ tốt
MB Bank,5,Positive,tiện và tốt
MB Bank,5,Positive,tốt dễ sử dụng
MB Bank,5,Positive,không hay
MB Bank,1,Negative,bắt tải đi tải lại suốt ngày
MB Bank,1,Negative,cskh quá tệ
MB Bank,5,Positive,bớt quảng cáo đi tí đã vào chậm lúc thanh toán còn hiện quảng cáo như ứng dụng lậu
MB Bank,1,Negative,money chat chuyển tiền chậm
MB Bank,5,Positive,được
MB Bank,5,Positive,hai lòng rất tôtthv
MB Bank,5,Positive,nơi tui tin tưởng nhất
MB Bank,5,Positive,áp quá hai
MB Bank,5,Positive,ổn
MB Bank,5,Positive,hup
MB Bank,5,Positive,tot ebai ngon lanh không bao gio bi lỗi
MB Bank,5,Positive,mb bank rất tuyệt vời
MB Bank,1,Negative,chế độ bảo vệ quyền lợi khách hàng của mb bank rất tệ người dùng không nên sử dụng mb bank để tránh rủi ro nên chọn những bank khác để được hưởng quyền lợi vốn có của khách hàng và được bảo vệ hỗ trợ tốt nhất
MB Bank,5,Positive,sai quá tôt nên tối cho 5 sao
MB Bank,1,Negative,mb ép buộc khách hàng phải đăng ký bảo hiểm bảo vệ màng hình😤😡
MB Bank,5,Positive,dùng nhanh tiện lợi
MB Bank,1,Negative,tìm mãi vẫn bắt 100 phải ra quầy để định danh gì đó để đổi hạn mức chuyển tiền 0đ trong khi đó quầy cách rất xa
MB Bank,1,Negative,mình làm thẻ visa online để mua game steam nhưng khi hoàn tiền mua game thì cả tuần rồi chưa thấy tiền về tài khoản gửi cskh thì không phản hồi mất 90k của mình
MB Bank,1,Negative,digital mã otp quét hoài không thành công tệ nhất trong các ngân hàng hiện tại lại phải ra ngân hàng mất công và thời gian
MB Bank,1,Negative,chậm như quỷ
MB Bank,5,Positive,quets qr nhanh thanh toan giao dich trong vong 5s
MB Bank,5,Positive,rât tôt
MB Bank,5,Positive,tiện lợi
MB Bank,1,Negative,có kung không má mật khẩu đúng có ghi ra giấy y chan mà chát vô để sao
MB Bank,2,Negative,quá trình đồng bộ dữ liệu không thành công lỗi liên tục tôi không thể vào ứng dụng để thanh toán quá bức xúc
MB Bank,5,Positive,okei
MB Bank,1,Negative,tại sao nó quay vậy không vào đăng ký áp
MB Bank,1,Negative,tệ
MB Bank,5,Positive,okk
MB Bank,1,Negative,lúc quẹt qr là cứ tải quài không dùng được trong khi mấy ứng dụng khác dùng bình thường ngân hàng khác dùng bình thường
MB Bank,5,Positive,tuyệt vời
MB Bank,5,Positive,rất tôt
MB Bank,1,Negative,ứng dụng chậm dã man
MB Bank,1,Negative,không hiện biến động số dư
MB Bank,1,Negative,huhu ứng dụng hỏng không vào được thử mọi cách rồi gọi tổng đài tư vấn cũng không được thế là mất hết tiền
MB Bank,5,Positive,tốt 5saoo
MB Bank,4,Positive,quá tuyệt hảo
MB Bank,5,Positive,tôi thích tính năng chuyển tiền làm tròn trên ứng dụng mb mỗi lần chuyển tiền còn lẻ lẻ tôi thấy không thích nhờ tính năng này tôi thấy rất thoải mái
MB Bank,1,Negative,cho nhận tiền không cho rút thì cho nhận làm gì
MB Bank,5,Positive,ứng dụng tuyệt vời nhất trên điện thoại là ứng dụng ngân hàng và shop mua hàng
MB Bank,5,Positive,hữu ích
MB Bank,2,Negative,ứng dụng thời tống à mở ứng dụng lên chậm chậm ảnh 10s mới lên
MB Bank,1,Negative,mạng bình thường mà vào cứ xoay không tải được làm không chuyển khoản được muốn đội quần
MB Bank,5,Positive,hai long
MB Bank,5,Positive,tốt và bảo đảm an toàn
MB Bank,1,Negative,rất tệ
MB Bank,3,Neutral,tôt
MB Bank,5,Positive,lúc này kiếm 5tr bên mình hình thức vay góp trả lần ít trong thời gian dài có phí mà thấp tệ tệ về tất cả dịch vụ kể cả chăm sóc khách hàng toàn là hệ thống nói chuyện chứ không phải nhân viên để mình hỏi những thắc mắc gọi tổng đài mà gườm gà thủ tục quá mất phí liên lạc của khách hàng
MB Bank,1,Negative,không thể quét mã qr để chuyển khoản được
MB Bank,5,Positive,ô kê lắm dich vụ tuyệt
MB Bank,5,Positive,rất tốt
MB Bank,1,Negative,sao hứa miễn phí thường niên mà lại trừ tiền
MB Bank,5,Positive,mã người giới thiệu là mbat 508 877 dành cho ai cần và muốn nhập để sử dụng nhé ứng dụng rất tốt về bảo mật cũng như thanh toán
MB Bank,5,Positive,đăng nhập vào tài khoản mình mà còn bị bắt nhập mã otp từ đt cũ đào đâu ra
MB Bank,5,Positive,nhanh gọn dễ dàng sử dụng
MB Bank,1,Negative,tiền chuyển đến nhưng ứng dụng không thông báo tin nào mục thông báo của ứng dụng cũng trống trơn rất là khó chịu mong ứng dụng thay đổi lại mục thông báo chứ có người chuyển đến không biết làm ảnh hưởng rất nhiều
MB Bank,5,Positive,tốt sa truuth
MB Bank,1,Negative,từng là ngân hàng tốt
MB Bank,1,Negative,định danh mức 2 toàn bị báo không thành công hoặc không được
MB Bank,4,Positive,cũng tiện lợi
MB Bank,4,Positive,khá tiện lợi
MB Bank,1,Negative,mã otp bắt đăng ký quài
MB Bank,1,Negative,tôi rất khó chịu cái xác thực khuôn mặt 30p roò xác thực mãi không xong như quần què😡
MB Bank,3,Neutral,không vô được tàn bị lỗi
MB Bank,1,Negative,tôi 2011 năm nay đã đủ 15 tuổi nhưng hệ thống nói tôi chưa đủ tuổi
MB Bank,2,Negative,quét cd nét thế vẫn không được
MB Bank,5,Positive,tốt nha
MB Bank,1,Negative,ứng dụng chậm lắm mà sao phần digital mã otp lại cứ phải có internet mới xác thực được tôi đang ở chỗ không có wifi và hết tiền đt thì chỉ mượn được máy tính có mạng thì làm ntn may 24 2026 tổng cpu 25 phút 47 giây cpu tiền cảnh 2 phút 13 giây là sao nhỉ dev cày coin hay tác vụ trên máy khách à
MB Bank,5,Positive,hài long
MB Bank,3,Neutral,máy ip cũ không hỗ trợ cấp quyền cam để dùng
MB Bank,3,Neutral,phiên bản mới không đăng ký digital mã otp được quét sinh trắc học và đọc mã số xong cứ hiện lại giao diện đăng ký d mã otp chứ không duyệt để có thể cài đặt mã mã otp mong nhà phát hành sớm sửa lỗi chứ không mỗi lần vào ứng dụng cứ phải nhập mình khổ quá
MB Bank,1,Negative,không vào được ứng dụng
MB Bank,4,Positive,dùng cũng tốt
MB Bank,5,Positive,bảo vệ chống lại trước các thứ lửa dao
MB Bank,1,Negative,tại sao tôi không còn thể tải mạ qr nhận tiền theo thiết kế màu của mình thích nữa khó chịu thật sự 😡
MB Bank,3,Neutral,ứng dụng chạy nền web hay gì mà mở tải rất chậm nên tối ưu hoá hệ thống đi
MB Bank,5,Positive,dùng tốt
MB Bank,5,Positive,rất tốt luôn
MB Bank,5,Positive,ứng dụng bảo mật cao thanh toán hết sức tiện lợi và dễ dùng giao diện đẹp thân thiện cho mọi người sử dụng
MB Bank,5,Positive,thanh toán dễ dàng tiện lợi
MB Bank,5,Positive,oki lắm
MB Bank,5,Positive,tốt ứng dụng nhiều khi cũng kẹt nên vào trang mình tham khảo đảm bảo tốt nhất về ứng dụng thì tuyệt tệ tệ về tất cả dịch vụ kể cả chăm sóc khách hàng toàn là hệ thống nói chuyện chứ không phải nhân viên để mình hỏi những thắc mắc gọi tổng đài mà gườm gà thủ tục quá mất phí liên lạc của khách hàng
MB Bank,3,Neutral,tại sao ngân hàng của tôi lại không có thông báo biến động số dư
MB Bank,5,Positive,ứng dụng tốt nhưng thiếu nhiều tỉnh năng nạp tiền điện chưa được
